Northing,Easting,Lat,Lon,Elevation
6503950.031,547263.8127,-31.59857514,117.4982213,261.073
6503873.925,547263.4659,-31.59926178,117.4982213,261.089
6503797.819,547263.1191,-31.59994843,117.4982213,261.089
6503721.714,547262.7723,-31.60063507,117.4982213,261.061
6503645.608,547262.4255,-31.60132172,117.4982213,260.898
6503569.502,547262.0788,-31.60200836,117.4982213,260.306
6503417.29,547261.3852,-31.60338165,117.4982213,260.99
6504710.741,547343.7637,-31.59170869,117.4990275,257.443
6504634.635,547343.4164,-31.59239533,117.4990275,258.615
6504558.529,547343.0692,-31.59308198,117.4990275,259.776
6504482.423,547342.7219,-31.59376862,117.4990275,260.332
6504406.318,547342.3746,-31.59445527,117.4990275,259.219
6504330.212,547342.0273,-31.59514191,117.4990275,258.799
6504254.106,547341.68,-31.59582856,117.4990275,259.615
6504178,547341.3327,-31.5965152,117.4990275,259.726
6504101.894,547340.9854,-31.59720185,117.4990275,258.629
6504025.788,547340.6381,-31.59788849,117.4990275,257.858
6503949.682,547340.2908,-31.59857514,117.4990275,258.302
6503873.576,547339.9435,-31.59926178,117.4990275,258.858
6503797.471,547339.5961,-31.59994843,117.4990275,258.07
6503721.365,547339.2488,-31.60063507,117.4990275,258.681
6503645.259,547338.9014,-31.60132172,117.4990275,258.877
6504710.392,547420.2474,-31.59170869,117.4998337,255.185
6504634.286,547419.8996,-31.59239533,117.4998337,256.271
6504558.18,547419.5518,-31.59308198,117.4998337,257.372
6504482.074,547419.204,-31.59376862,117.4998337,257.206
6504405.968,547418.8561,-31.59445527,117.4998337,256.686
6504329.862,547418.5083,-31.59514191,117.4998337,257.272
6504253.756,547418.1604,-31.59582856,117.4998337,258.206
6504177.651,547417.8126,-31.5965152,117.4998337,257.735
6504101.545,547417.4647,-31.59720185,117.4998337,256.686
6504025.439,547417.1168,-31.59788849,117.4998337,256.686
6503949.333,547416.7689,-31.59857514,117.4998337,257.131
6503873.227,547416.4211,-31.59926178,117.4998337,257.686
6503797.121,547416.0732,-31.59994843,117.4998337,257.145
6504710.042,547496.7312,-31.59170869,117.5006398,253.647
6504633.936,547496.3828,-31.59239533,117.5006398,254.85
6504557.83,547496.0344,-31.59308198,117.5006398,255.029
6504481.724,547495.686,-31.59376862,117.5006398,255.146
6504405.618,547495.3376,-31.59445527,117.5006398,255.514
6504329.512,547494.9892,-31.59514191,117.5006398,255.816
6504253.406,547494.6408,-31.59582856,117.5006398,256.029
6504177.301,547494.2924,-31.5965152,117.5006398,256.48
6504101.195,547493.944,-31.59720185,117.5006398,256
6504025.089,547493.5955,-31.59788849,117.5006398,255.735
6503948.983,547493.2471,-31.59857514,117.5006398,255.473
6503872.877,547492.8986,-31.59926178,117.5006398,256.029
6504709.691,547573.215,-31.59170869,117.501446,253.093
6504633.585,547572.866,-31.59239533,117.501446,253.616
6504557.479,547572.5171,-31.59308198,117.501446,253.343
6504481.374,547572.1681,-31.59376862,117.501446,253.426
6504405.268,547571.8192,-31.59445527,117.501446,253.957
6504329.162,547571.4702,-31.59514191,117.501446,254.343
6504253.056,547571.1212,-31.59582856,117.501446,254.841
6504176.95,547570.7722,-31.5965152,117.501446,254.708
6504100.844,547570.4233,-31.59720185,117.501446,255.343
6504024.738,547570.0743,-31.59788849,117.501446,254.976
6503948.632,547569.7253,-31.59857514,117.501446,254.152
6504709.34,547649.6987,-31.59170869,117.5022522,251.342
6504633.234,547649.3492,-31.59239533,117.5022522,251.342
6504557.128,547648.9997,-31.59308198,117.5022522,251.4
6504481.022,547648.6502,-31.59376862,117.5022522,252.171
6504404.917,547648.3007,-31.59445527,117.5022522,252.928
6504328.811,547647.9512,-31.59514191,117.5022522,254
6504252.705,547647.6016,-31.59582856,117.5022522,253.501
6504708.988,547726.1825,-31.59170869,117.5030584,250
6504632.882,547725.8325,-31.59239533,117.5030584,250
6504556.777,547725.4824,-31.59308198,117.5030584,250.071
6504480.671,547725.1323,-31.59376862,117.5030584,250.999
